Color,Condition,Cylinders,Drive,Fuel,Make,Model,Odometer,Price,Title,Transmission_Automatic,Year
White,Good,4,Fwd,Gas,Ford,Transit,113451,6900,Clean,1,2014
Red,Excellent,4,Fwd,Gas,Dodge,Dart,114213,7250,Clean,1,2014
Blue,Good,8,Rwd,Gas,Ford,E150,178000,4499,Clean,1,2005
Black,Like New,4,Fwd,Gas,Honda,Odyssey,150213,4900,Clean,1,2006
Silver,Excellent,8,Rwd,Gas,Toyota,Tundra,40000,33500,Salvage,1,2019
Grey,Excellent,6,Rwd,Gas,Lexus,Is,119000,10500,Salvage,1,2010
Grey,Salvage,8,4Wd,Gas,Land Rover,Range,131500,1975,Clean,1,2005
Grey,Excellent,6,Fwd,Gas,Toyota,Highlander,95000,19900,Salvage,1,2015
Grey,Excellent,8,Rwd,Gas,Bmw,535I,122000,9000,Clean,1,2011
Black,Good,6,4Wd,Gas,Ford,Ranger,123456,11500,Clean,1,2002
Silver,Good,8,Rwd,Gas,Dodge,Dakota,168100,6495,Clean,1,2007
Grey,Excellent,6,4Wd,Gas,Gmc,Yukon,153000,6500,Clean,1,2003
White,Excellent,0,Fwd,Electric,Ford,Mustang,11500,57900,Clean,1,2022
White,Good,4,Fwd,Gas,Toyota,Corolla,200000,3800,Clean,1,2010
Blue,Like New,6,Fwd,Gas,Dodge,Grand,118000,5500,Clean,1,2010
Grey,Good,4,Fwd,Gas,Toyota,Highlander,197085,4299,Clean,1,2004
Brown,Good,4,Fwd,Gas,Volkswagen,Vanagon,120000,17500,Clean,0,1982
White,Like New,4,Fwd,Hybrid,Toyota,Prius,137260,13900,Clean,1,2015
Grey,Like New,8,Rwd,Gas,Mercedes,S550,140000,10900,Salvage,1,2011
Blue,Excellent,6,4Wd,Gas,Jeep,Cherokee,154545,9500,Clean,0,1999
Silver,Good,6,Fwd,Gas,Toyota,Tundra,165000,9000,Clean,1,2001
White,Good,6,Rwd,Gas,Chevrolet,Silverado,41000,28500,Clean,1,2018
Grey,Good,8,4Wd,Gas,Dodge,Durango,157000,1250,Clean,1,2004
Black,Good,5,Fwd,Gas,Volkswagen,Jetta,200000,2500,Clean,1,2008
Grey,Good,6,Rwd,Gas,Dodge,Charger,141000,1800,Clean,1,2006
Silver,Good,4,4Wd,Gas,Subaru,Outback,156403,5500,Clean,1,2006
Blue,Excellent,6,Rwd,Gas,Ford,Ranger,180,4850,Clean,1,2000
Brown,Excellent,4,Rwd,Gas,Gmc,Sierra,82786,9500,Clean,0,1985
Green,Good,6,Rwd,Gas,Bmw,330I,168000,5000,Clean,1,2005
Black,Like New,6,Rwd,Gas,Jeep,Grand,79000,25950,Clean,1,2016
Black,Like New,6,Fwd,Gas,Mercedes,Ml350,141000,7200,Clean,1,2008
Silver,Good,6,Rwd,Gas,Jeep,Grand,25632,41000,Clean,1,2021
Red,Excellent,6,Fwd,Gas,Toyota,Tacoma,98522,13600,Clean,1,2014
Grey,Good,6,Fwd,Gas,Audi,A3,96500,4500,Clean,0,2007
Grey,Like New,4,Fwd,Gas,Nissan,Rogue,68000,12300,Salvage,1,2017
Silver,Good,6,Rwd,Gas,Mercedes,E350,144,6499,Clean,1,2008
